Customer_ID,Full_Name,Gender,DOB,Account_Type,Account_Status,Account_Balance,Currency,Branch_Code,Phone_Number,Email,Status,Street_Address,City,State,Zip_Code,Country,Customer_Since,Credit_Score,KYC_Verified,Risk_Level,Account_Fees,Preferred_Language
CUST100000,DavE doe,male,1990-11-13,currnt,closed,8119.52,gbp,LD-005,+1-656-194-2359,user0@protonmail.com,INACTIVE,3901 Main St,houston,GA,41096,UsA,2019-08-12,811,Yes,High,17.68,English
CUST100001,john o'connor,M,1973-06-12,checKing,CLOSED,4921.42,eur,Ch-003,+1-351-841-2540,user1@yahoo.com,inactve,5270 Broadway,miami,IL,57400,UsA,2016-05-16,819,Y,low,1.17,English
CUST100002,ALICE SMITH,FEMALE,1951-02-17,Checking,Suspended,4985.06,usd,Ch-003,+1-565-488-6527,user2@yahoo.com,active,4570 Maple Dr,miami,NY,74092,usa,2018-10-09,365,Yes,low,24.76,English
CUST100003,mAry SMITH,M,1989-03-12,checKing,CLOSED,3219.21,USD,sf006,+1-347-718-8688,user3@outlok.com,inactve,5168 2nd Ave,miami,FL,62485,UsA,2010-12-31,467,N,Medium,18.86,spanish
CUST100004,DavE doe,M,1969-05-14,currnt,CLOSED,6263.71,gbp,mi007,+1-135-430-6075,user4@yahoo.com,INACTIVE,9863 Elm Street,atlanta,NY,77977,usa,2020-04-24,821,yes,medium,14.55,ENGLISH
CUST100005,DavE o'connor,Female,1983-08-27,current,Open,4870.55,gbp,LD-005,+1-665-895-8392,user5@gmial.com,actve,4547 2nd Ave,CHICAGO,GA,56893,United States,2017-04-16,772,Yes,low,13.3,ENGLISH
CUST100006,sArAh doe,FEMALE,1992-03-08,currnt,CLOSED,5589.31,gbp,la002,+1-321-728-7727,user6@gmial.com,ACTIVE,9062 Main St,los angeles,TX,66865,UsA,2009-10-02,763,Y,Low,14.99,ENGLISH
CUST100007,sArAh JOHNSON,FEMALE,1975-10-05,savngs,open,6423.75,gbp,sf006,+1-197-110-3103,user7@yahoo.com,active,5349 Elm Street,CHICAGO,NY,43190,UsA,2022-11-22,651,N,High,1.15,English
CUST100008,john doe,FEMALE,1956-02-01,currnt,Suspended,4728.43,GBP,Ch-003,+1-707-983-1462,user8@outlok.com,Inactive,376 Main St,los angeles,NY,29862,usa,2013-05-10,770,No,High,9.12,Spanish
CUST100009,john SMITH,M,1987-05-03,Checking,suspended,6531.42,gbp,la002,+1-618-555-2132,user9@yahoo.com,actve,9675 2nd Ave,los angeles,GA,91738,USA,2016-10-10,462,No,low,2.24,spanish
CUST100010,mAry lee,male,1979-01-22,currnt,Open,6629.43,GBP,NY-001,+1-614-285-8588,user10@gmail.com,ACTIVE,3552 Main St,miami,CA,64168,UsA,2013-04-22,620,No,Low,4.39,English
CUST100011,sArAh doe,FEMALE,1991-06-04,currnt,suspended,5509.78,GBP,NY-001,+1-381-813-7359,user11@yahoo.com,Inactive,9520 Elm Street,los angeles,GA,55553,USA,2021-07-31,383,Yes,low,8.33,Spanish
CUST100012,sArAh SMITH,F,1954-04-20,Checking,CLOSED,5299.16,eur,mi007,+1-920-648-1798,user12@gmail.com,INACTIVE,883 Maple Dr,houston,CA,37789,USA,2018-07-25,507,no,low,16.82,spanish
